"Story","Title","Result","Date","Stability","Duration (s)"
"Alterar Senha do usuario","Alterar Senha","SUCCESS","2018-02-23T11:13:08.850-03:00","0.0","46.78"
"Cadastrar novo usuario","Cadastrar usuario","SUCCESS","2018-02-23T09:44:21.173-03:00","0.0","26.29"
"Colocar o produto Printed Chiffon Dress no carrinho","Colocar o produto Printed Chiffon Dress no carrinho","SUCCESS","2018-02-23T14:24:03.813-03:00","0.0","21.83"
"Filtrar pela cor Verde e adicionar ao carrinho","Filtrar pela cor Verde","SUCCESS","2018-02-26T10:05:29.609-03:00","0.0","22.08"
"filtrar pelo tamanho L e composição Algodão","filtrar pelo tamanho L e composição Algodão","PENDING","2018-02-26T10:53:05.141-03:00","0.0","14.74"
"filtrar pelo tamanho L e composição Algodão e depois remover filtro de tamanho","filtrar pelo tamanho L e composição Algodão","SUCCESS","2018-02-26T11:01:38.541-03:00","0.0","15.63"
"filtrar pelo tamanho L e estilo Vistoso","filtrar pelo tamanho L e estilo Vistoso","SUCCESS","2018-02-26T10:28:44.244-03:00","0.0","19.35"
