"Story","Title","Result","Date","Stability","Duration (s)"
"Alterar Senha do usuario","Alterar Senha","SUCCESS","2018-02-23T11:13:08.850-03:00","0.0","46.78"
"Cadastrar novo usuario","Cadastrar usuario","SUCCESS","2018-02-23T09:44:21.173-03:00","0.0","26.29"
